activity_id,primary_activity,source_file,ingestion_date
1',التجارة,Primary Activity.csv,2026-01-31
2',المقاولات,Primary Activity.csv,2026-01-31
3',التشغيل والصيانة والنظافة للمنشآت,Primary Activity.csv,2026-01-31
4',العقارات والأراضي,Primary Activity.csv,2026-01-31
5',الصناعة والتعدين والتدوير,Primary Activity.csv,2026-01-31
6',الغاز والمياه والطاقة,Primary Activity.csv,2026-01-31
7',المناجم والبترول والمحاجر,Primary Activity.csv,2026-01-31
8',الإعلام والنشر والتوزيع,Primary Activity.csv,2026-01-31
9',الاتصالات وتقنية المعلومات,Primary Activity.csv,2026-01-31
10',الزراعة والصيد,Primary Activity.csv,2026-01-31
11',الرعاية الصحية والنقاهة,Primary Activity.csv,2026-01-31
12',التعليم والتدريب,Primary Activity.csv,2026-01-31
13',التوظيف والاستقدام,Primary Activity.csv,2026-01-31
14',الأمن والسلامة,Primary Activity.csv,2026-01-31
15',النقل والبريد والتخزين,Primary Activity.csv,2026-01-31
16',المهن الاستشارية,Primary Activity.csv,2026-01-31
17',السياحة والمطاعم والفنادق وتنظيم المعارض,Primary Activity.csv,2026-01-31
18',المالية والتمويل والتأمين,Primary Activity.csv,2026-01-31
19',الخدمات الأخرى,Primary Activity.csv,2026-01-31
