region_name,source_file,ingestion_date
منطقة الرياض,regions.csv,2026-01-31
منطقة مكة المكرمة,regions.csv,2026-01-31
منطقة المدينة المنورة,regions.csv,2026-01-31
منطقة القصيم,regions.csv,2026-01-31
المنطقة الشرقية,regions.csv,2026-01-31
منطقة عسير,regions.csv,2026-01-31
منطقة تبوك,regions.csv,2026-01-31
منطقة حائل,regions.csv,2026-01-31
منطقة الحدود الشمالية,regions.csv,2026-01-31
منطقة جازان,regions.csv,2026-01-31
منطقة نجران,regions.csv,2026-01-31
منطقة الباحة,regions.csv,2026-01-31
منطقة الجوف,regions.csv,2026-01-31
